CASE_NUMBER,INSPECTOR,SERVICE_MANAGER,OPENDATE,CLOSEDATE,CASESTATUS,PROGRAM,DISPOSITION,gx_location,STREET_NUMBER,STREET_DIRECTION,STREET_NAME,STREET_TYPE,UNIT_NUMBER,ZIP,CENSUS_TRACT,APN,CASE_DESC
201422671.000,Carolyn Slezak,Rachel Roberts   120E,11/10/2014,,OPEN,General,No violations found,"52 N BASCOM AV, SAN JOSE CA 95128-1801",52,N,BASCOM,AV,,95128-1801,5020.01,27417066,TRAILER IN THE BACK YARD OCCUPIED USING EXTENSION CORDS FOR POWER
201422676.000,James Young,Rachel Roberts   120E,11/10/2014,11/17/2014,CLOSED,General,No violations found,"510   MCLAUGHLIN AV, SAN JOSE CA 95116-2856",510,,MCLAUGHLIN,AV,,95116-2856,5015.01,47204125,INOP WHITE TRAILER OCCUPIED IN CAR WASH PARKING LOT
201422679.000,Dennis Castro,Debbie Morales   101E,11/10/2014,,OPEN,Multiple Family,Under Investigation,"690 N 5TH ST, SAN JOSE CA 95112-3207",690,N,5TH,ST,,95112-3207,5011.01,24939038,BED BUGS IN UNIT
201422683.000,Dylan Maver,Rachel Roberts   120E,11/10/2014,,OPEN,General,Under Investigation,"1779   BALSA AV, SAN JOSE CA 95124-1860",1779,,BALSA,AV,,95124-1860,5029.02,44241013,CONVERTED GARAGE WITHOUT PERMITS
201422684.000,William Gerry,Rachel Roberts   120E,11/10/2014,,OPEN,General,Under Investigation,"1286   PAMPAS DR, SAN JOSE CA 95120-5304",1286,,PAMPAS,DR,,95120-5304,5119.14,57718049,"ARBOR PUT UP IN FRONT YARD ATTACHED TO HOME, ELECTRICAL"
201422699.000,Loren Due,Debbie Morales   101E,11/10/2014,,OPEN,Multiple Family,Under Investigation,"3161   CADILLAC DR, SAN JOSE CA 95117-4010",3161,,CADILLAC,DR,,95117-4010,5065.01,30502006,"#2- BED BUGS AND COCKROACH INFESTATION, STOVE AND OVEN DO NOT WORK, MOLD IN THE BEDROOM CLOSET, PAINT IS PEELING WHERE THE MOLD IS, PIPES ARE LEAKING, CARPET AND FLOORING ARE OLD AND DETERIORATED."
201422706.000,Oscar Carrillo,Rachel Roberts   120E,11/10/2014,11/21/2014,CLOSED,General,No violations found,"1939   NAVY PL, SAN JOSE CA 95133-1157",1939,,NAVY,PL,,95133-1157,5043.19,25451021,BUILDING A STRUCTURE IN THE BACKYARD WITHOUT PERMITS
201422716.000,Joe Celio,Rachel Roberts   120E,11/12/2014,,OPEN,General,Under Investigation,"199   RACE ST, SAN JOSE CA 95126-3013",199,,RACE,ST,,95126-3013,5006.00,26127093,OVERGROWN IVY ON BACK FENCE OF PIZZA CAUSING SIGHT OBSTRUCTION PEOPLE ALMOST GET HIT FROM TILLMAN AVE
201422730.000,Brigitte Marquis,Rachel Roberts   120E,11/12/2014,,OPEN,General,Under Investigation,"2963   FENWICK WY, SAN JOSE CA 95148-3408",2963,,FENWICK,WY,,95148-3408,5033.15,67319036,NO GARAGE DOOR; CONVERTED GARAGE USED AS A LIVING SPACE; ATTACHING STORAGE SHEDS TO THE FENCE IN THE SIDE YARD; POSSIBLE NEW CONSTRUCTION IN RY
201422734.000,Mike Tran,Rachel Roberts   120E,11/12/2014,12/03/2014,CLOSED,General,In compliance,"2591   ALUM ROCK AV, SAN JOSE CA 95116-2603",2591,,ALUM ROCK,AV,,95116-2603,5037.13,48403044,GRAFFITI
201422735.000,Carolyn Slezak,Rachel Roberts   120E,11/12/2014,,OPEN,Vacant Building,Under Investigation,"1422   GERHARDT AV, SAN JOSE CA 95125-4021",1422,,GERHARDT,AV,,95125-4021,5030.01,43960015,"WOOD, OVERGROWN TREES, IVY AND BUSHES IN REAR YARD ATTRACTING RODENTS."
201422737.000,Mike Tran,Rachel Roberts   120E,11/12/2014,,OPEN,General,Under Investigation,"2687   STORY RD, SAN JOSE CA 95122-1064",2687,,STORY,RD,,95122-1064,5040.02,48434020,GRAFFITI ON ORANGE WALL
201422741.000,Roger Beaudoin,Debbie Morales   101E,11/12/2014,,OPEN,Multiple Family,Under Investigation,"1878   PARK AV, SAN JOSE CA 95126-1636",1878,,PARK,AV,,95126-1636,5004.00,26115095,"BACK EXTERIOR STAIRS ARE UNMAINTAINED. 2ND TO THE TOP STEP IS DETERIORATED AND THE 2ND TO THE LAST STEP COLLAPSED, NOTHING ON STEPS TO PREVENT SLIPS AND FALLS."
201422745.000,Roger Beaudoin,Debbie Morales   101E,11/12/2014,11/19/2014,CLOSED,Multiple Family,No violations found,"790   LENZEN AV, SAN JOSE CA 95126-2733",790,,LENZEN,AV,,95126-2733,5006.00,26103054,GARBAGE BIN LEFT OUT FOR OVER TWO WEEKS.  HOMELESS PEOPLE CLIMB IN AT NIGHT.  CITYSOURCED ISSUE ID# 132052.***
201422747.000,Jason Gibilisco,**  Not Assigned **,11/12/2014,,OPEN,General,Under Investigation,"69   CYCLAMEN CT, SAN JOSE CA 95111-3913",69,,CYCLAMEN,CT,,95111-3913,5120.42,68450036,"Top balcony, over 120 square feet, and too close to the rear property line."
201422752.000,Sharon Yamzon,Rachel Roberts   120E,11/13/2014,,OPEN,General,Under Investigation,"1755   ANGELA ST, SAN JOSE CA 95125-1211",1755,,ANGELA,ST,,95125-1211,5031.21,45522042,"COMPLETE REMODEL, ELECTRICAL PLUMBING MOVING WALLS"
201422760.000,Dylan Maver,Rachel Roberts   120E,11/13/2014,,OPEN,General,Under Investigation,"1501   WOODSON CT, SAN JOSE CA 95118-1668",1501,,WOODSON,CT,,95118-1668,5029.07,45125032,WATER HEATER INSTALLED W/O PERMITS AND PEDESTAL SOME TIME AGO
201422761.000,Angelica Garcia,Debbie Morales   101E,11/13/2014,11/19/2014,CLOSED,Multiple Family,Insufficient Evidence,"3030   MONTEREY RD, FRANKLIN-MCKINLEY CA 95111-3205",3030,,MONTEREY,RD,,95111-3205,5032.04,49722043,Cock roaches and mold in rooms 120 and 130. Cockroaches in all rooms and bathroom walls filled with mold.
201422764.000,Angelica Garcia,Debbie Morales   101E,11/13/2014,12/03/2014,CLOSED,Multiple Family,In compliance,"3969   SEVEN TREES BL, SAN JOSE CA",3969,,SEVEN TREES,BL,,,5032.18,49413012,CP STATES UNIT IS INFESTED WITH BED BUGS AND ROACHES.  CP STATES MANAGER IS UNWILLING TO ADDRESS VIOLATIONS/ISSUES.  CP IS SPANISH SPEAKING.
201422767.000,Dennis Castro,Debbie Morales   101E,11/13/2014,,OPEN,Multiple Family,Wrong address,"1211 E SANTA CLARA ST, SAN JOSE CA",1211,E,SANTA CLARA,ST,,,5014.01,46710012,#4 COCKROACHES NO HEAT FOR 4-5 YEARS
201422772.000,Larry Ng,Debbie Morales   101E,11/13/2014,,OPEN,Multiple Family,Under Investigation,"1505   DE ROSE WY, SAN JOSE CA 95126-4168",1505,,DE ROSE,WY,,95126-4168,5022.01,28432004,ABOUT 5-6 TREES CUT DOWN IN THE BACK OF PROPERTY ABOUT 3WEEKS AGO
201422779.000,Joe Celio,Rachel Roberts   120E,11/13/2014,,OPEN,General,Other,"26   TILLMAN AV, SAN JOSE CA 95126-2655",26,,TILLMAN,AV,,95126-2655,5006.00,26127062,IVY ON THE PROEPTY LINE IS OVER 10FT HIGH CREATING A SIGHT OBSTRUCTION
201422781.000,Oscar Carrillo,Rachel Roberts   120E,11/13/2014,,OPEN,General,Under Investigation,"237 N 33RD ST, SAN JOSE CA 95116-1217",237,N,33RD,ST,,95116-1217,5036.01,48102010,"GARAGE CONVERTED, EXTENDING TO BACK OF HOME,"
201422783.000,William Gerry,Rachel Roberts   120E,11/13/2014,,OPEN,General,Under Investigation,"1283   POKER FLAT PL, SAN JOSE CA 95120-1766",1283,,POKER FLAT,PL,,95120-1766,5119.14,57748039,REMODELING THE BASEMENT/STORAGE SPACE WITHOUT PERMITS
201422790.000,Carolyn Slezak,Rachel Roberts   120E,11/14/2014,,OPEN,General,Under Investigation,"3171   GLENEEDEN WY, SAN JOSE CA 95117-3023",3171,,GLENEEDEN,WY,,95117-3023,5063.02,29924017,BUILT STRUCTURES IN THE BACK YARD HIGHER THAN FENCE AND UP AGAINST THE FENCE (playground type bridge)
201422810.000,William Gerry,Rachel Roberts   120E,11/14/2014,,OPEN,General,Under Investigation,"7291   MARTWOOD WY, SAN JOSE CA 95120-3419",7291,,MARTWOOD,WY,,95120-3419,5119.12,74235113,2 UNITS BUILT IN THE BACK YARD WITHOUT PERMITS OCCUPIEDCP#3 ADDED.
201422825.000,Carolyn Slezak,Rachel Roberts   120E,11/14/2014,,OPEN,General,Under Investigation,"1188   MILLER AV, SAN JOSE CA 95129-3930",1188,,MILLER,AV,,95129-3930,5079.03,37717046,EXCAVATION WORK BEING DONE WITH BIG EXCAVATOR
201422826.000,James Young,Rachel Roberts   120E,11/14/2014,11/21/2014,CLOSED,General,No violations found,"735 N 19TH ST, SAN JOSE CA 95112-3039",735,N,19TH,ST,,95112-3039,5001.00,24917012,GARAGE OCCUPIED
201422836.000,Jason Gibilisco,**  Not Assigned **,11/14/2014,11/21/2014,CLOSED,General,No violations found,"7126   SANTA TERESA BL, SAN JOSE CA",7126,,SANTA TERESA,BL,,,5120.34,70628027,LAUNDROMAT HAS PUDDLES OF WATER ON THE FLOOR AND EXPOSED WIRING.
201422842.000,Oscar Carrillo,Rachel Roberts   120E,11/14/2014,,OPEN,General,Under Investigation,"2094   WARMWOOD LN, SAN JOSE CA 95132-1250",2094,,WARMWOOD,LN,,95132-1250,5044.11,09221028,"FIRE DAMAGE HOUSE REMODELINGING, CLOTHES AND FURNITURE SCATTERED AROUND PROPERTY AND P/STRIP NO PERMITS"
201422861.000,Jess Medina,Debbie Morales   101E,11/14/2014,12/03/2014,CLOSED,Multiple Family,In compliance,"3030   MAGLIOCCO DR, SAN JOSE CA 95128-3057",3030,,MAGLIOCCO,DR,,95128-3057,5064.01,27908023,"#1- BATHROOM SINK IS LEAKING, RP REFUSES TO FIX***"
201422869.000,Joseph Hatfield,Rachel Roberts   120E,11/14/2014,,OPEN,General,Under Investigation,"296   DORIS AV, ALUM ROCK CA 95127-3002",296,,DORIS,AV,,95127-3002,5040.01,48425044,GARAGE OCCUPIED2-3 FAMILIES
201422872.000,Joseph Hatfield,Rachel Roberts   120E,11/15/2014,,OPEN,General,Under Investigation,"3479   NEVES WY, SAN JOSE CA 95127-2459",3479,,NEVES,WY,,95127-2459,5041.01,60116065,GARAGE OCCUPIED
201422888.000,James Young,Rachel Roberts   120E,11/17/2014,,OPEN,General,Under Investigation,"432 N 19TH ST, SAN JOSE CA 95112-1739",432,N,19TH,ST,,95112-1739,5011.02,24961008,"INTERIOR REMODEL W/O PERMITS ELECTRICAL, PLUMBING"
201422890.000,Oscar Carrillo,Rachel Roberts   120E,11/17/2014,,OPEN,General,Under Investigation,"1050   RYMAR CT, SAN JOSE CA 95133-2745",1050,,RYMAR,CT,,95133-2745,5043.07,25467006,USING GENERATOR FOR ELECTRICITY FOR THE PAST 40-60 DAYS
201422892.000,Carolyn Slezak,Rachel Roberts   120E,11/17/2014,,OPEN,General,Under Investigation,"2222   BUSINESS CL, SAN JOSE CA 95128-0000",2222,,BUSINESS,CL,,95128-0000,5020.01,27704021,OVERFLOWING DUMPSTER.  UNCONTAINED GARBAGE.  LARGE AMOUNT OF GARBAGE IN ALLEY WAY OF DOLLAR TREE.
201422896.000,Loren Due,Debbie Morales   101E,11/17/2014,,OPEN,Multiple Family,Under Investigation,"1510   EDEN AV, SAN JOSE CA 95117-4035",1510,,EDEN,AV,,95117-4035,5065.01,30503001,"#4 BROKEN WINDOW ROACHES, OUTLETS DON''T ALWASY WORK IN KITCHEN, LIVING ROOM, BATHROOM CEILING IS LEAKING."
201422903.000,Carolyn Slezak,Rachel Roberts   120E,11/17/2014,,OPEN,General,Under Investigation,"3958   HAMILTON PARK DR, SAN JOSE CA 95130-1220",3958,,HAMILTON PARK,DR,,95130-1220,5066.05,30725026,BUILDING A STRUCTURE IN B/Y NO PERMITS
201422907.000,James Young,Rachel Roberts   120E,11/17/2014,,OPEN,General,Under Investigation,"110 N 3RD ST, SAN JOSE CA 95112-5542",110,N,3RD,ST,,95112-5542,5010.00,46720075,"THREE TREES HAVE BEEN CUT DOWN, NO PERMITS"
201422908.000,Sharon Yamzon,Rachel Roberts   120E,11/17/2014,,OPEN,General,Under Investigation,"1632   TULLY RD, SAN JOSE CA 95122-2532",1632,,TULLY,RD,,95122-2532,5033.04,67002004,"GRAFFITI ON LIGHT POLES AND TRASH ENCLOSURE, FENCE  OF GAS STATION IN SAME LOT OF jACK IN THE BOX"
201422911.000,Jess Medina,Debbie Morales   101E,11/17/2014,11/19/2014,CLOSED,Multiple Family,In compliance,"223   MERIDIAN AV, SAN JOSE CA 95126-2904",223,,MERIDIAN,AV,,95126-2904,5005.00,27414035,RAW SEWAGE ON THE NORTON SIDE OF THE BLDG AND OUTSIDE STORAGE OF A PROPANE TANK NEXT TO UNIT 3.***
201422912.000,Sharon Yamzon,Rachel Roberts   120E,11/17/2014,11/19/2014,CLOSED,General,Insufficient Evidence,"1028   SUMMERFIELD DR, SAN JOSE CA 95121-2351",1028,,SUMMERFIELD,DR,,95121-2351,5032.12,49931008,GARAGE CONVERTED AND OCCUPIED
201422913.000,Joseph Hatfield,Rachel Roberts   120E,11/17/2014,,OPEN,General,Under Investigation,"14670   NOBLE AV, SAN JOSE CA 95132-3134",14670,,NOBLE,AV,,95132-3134,5043.08,59531003,GARAGE CONVERTED AND OCCUPIED WITHOU PERMITS
201422915.000,Roger Beaudoin,Debbie Morales   101E,11/17/2014,,OPEN,Multiple Family,Under Investigation,"1934   PARK AV, SAN JOSE CA 95126-1420",1934,,PARK,AV,,95126-1420,5004.00,23045061,DUMPSTER LEFT OUT CONTINUOUSLY
201422919.000,James Young,Rachel Roberts   120E,11/17/2014,,OPEN,General,Under Investigation,"342   BONITA AV, SAN JOSE CA 95116-2807",342,,BONITA,AV,,95116-2807,5015.01,47206039,"DETACHED GARAGE CONVERTED INTO A UNIT ELECTRICAL AND PLUMBING NO PERMITS, CONVERTED FORMER CHICKEN COOP STRUCTURE INTO A UNIT (OCCUPIED) TENANT ADDED ADDRESS 344 ONTO STRUCTURE, TREE ROOTS GROWING THROUGH CENTER OF THE KITCHEN, NO HEAT, MOLD IN THE BATHROOM AND LAUNDRY ROOM, ANOTHER STRUCTURE ADDED (OCCUPIED) IN BETWEEN DUPLEX UNITS A&B WITHOUT PERMITS AND HAVE AN INFESTATION OF BED BUGS."
201422931.000,Jess Medina,Debbie Morales   101E,11/17/2014,11/19/2014,CLOSED,Multiple Family,Complaint Withdrawn,"1259   PARK AV, SAN JOSE CA 95126-2821",1259,,PARK,AV,,95126-2821,5005.00,27413073,"PGE OUT THERE TO FIX HEATER BUT DISCONNECTED GAS LINE FOR A CRACK IN PIPE, NO HEATER, BATHROOM KITCHEN BEDROOM HAS UNFINISHED WORK FROM BROKEN WALLS, REPLACED WINDOWS, BATHROOM WALL BROKEN OPEN***"
201422941.000,Joe Celio,Rachel Roberts   120E,11/17/2014,11/21/2014,CLOSED,General,In compliance,"355   HULL AV, SAN JOSE CA 95125-1646",355,,HULL,AV,,95125-1646,5018.00,26447056,SEWER LEAK IN F.Y BEAMS TO SUPPORT ROOF.
201422946.000,Joseph Hatfield,Rachel Roberts   120E,11/17/2014,11/21/2014,CLOSED,General,Other,"724   HIGH GLEN DR, SAN JOSE CA 95133-1439",724,,HIGH GLEN,DR,,95133-1439,5038.03,59203037,PLUMBING WORK IN WORKSHOP LOCATED IN REAR YARD BEING DONE WITHOUT PERMITS.  CONSTRUCTION WORK IS BEING DONE LATE AT NIGHT.
201422947.000,Mike Tran,Rachel Roberts   120E,11/17/2014,,OPEN,General,Under Investigation,"2497   CLYDA DR, SAN JOSE CA 95116-3712",2497,,CLYDA,DR,,95116-3712,5040.02,48439062,"RATS, ROACHES, CRACKED CEILINGS, WHITE INOP TRUCK CRASHED IN D/W F/Y NO LANSCAPING, HOLES, MOLD IN BATHROOM."
201422962.000,Joseph Hatfield,Rachel Roberts   120E,11/18/2014,,OPEN,General,Under Investigation,"3017   MASONWOOD ST, SAN JOSE CA 95148-2635",3017,,MASONWOOD,ST,,95148-2635,5033.24,65440019,ADDITION TO BACK OF HOME ATTACHED
201422976.000,Mike Tran,Rachel Roberts   120E,11/18/2014,,OPEN,General,Under Investigation,"2505   CHANT CT, SAN JOSE CA 95122-1004",2505,,CHANT,CT,,95122-1004,5035.06,48643103,"INDEPENDENT LIVING HOME POSSIBLY OVERCROWDED, NO HOT WATER, ROTTING FOOD AND FLIES, GARAGE POSSIBLE FIRE HAZARD."
201422981.000,Dylan Maver,Rachel Roberts   120E,11/18/2014,,OPEN,General,Under Investigation,"898   HERMISTON DR, SAN JOSE CA 95136-1512",898,,HERMISTON,DR,,95136-1512,5120.05,45923034,"UNDERGROUND WATERMAIN REPLACED WITHOUT PERMITS, NO CO DETECTORS OR FIRE EXSTINGUISHER, GARBAGE DISPOSAL NOT WORKING, FRAMING IN GARAGE IS BOWING, OVERCROWDING 15+ TENANTS, RESIDENCE BEING USED AS A RECOVERY CENTER FOR THE CHURCH."
201422983.000,Carolyn Slezak,Rachel Roberts   120E,11/18/2014,,OPEN,Vacant Building,Under Investigation,"1699   CURTNER AV, SAN JOSE CA 95125-4921",1699,,CURTNER,AV,,95125-4921,5029.03,44609066,"VACANT PROPERTY, NOT MAINTAINED, VEGETATION OVERGROWN."
201422984.000,William Gerry,Rachel Roberts   120E,11/18/2014,,OPEN,General,Under Investigation,"661   GLENBURRY WY, SAN JOSE CA 95123-1318",661,,GLENBURRY,WY,,95123-1318,5120.27,46436044,GARAGE CONVERTED (OCCUPIED)
201422989.000,Joe Celio,Rachel Roberts   120E,11/18/2014,,OPEN,General,Under Investigation,"1570   HAMILTON AV, SAN JOSE CA 95125-4539",1570,,HAMILTON,AV,,95125-4539,5026.01,42946018,"Parking lot of fitness Evolution is trashed. Trash everywhere, smells like urine and feces from the people living in cars on the property. Unsafe and disgusting. CitySourced Issue ID# 132776"
